SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;QT_APTOS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;TOTAL_BRANCO_NULO;PERC_DESCONTENTES;CD_MUNICIPIO_IBGE;NM_MUNICIPIO_IBGE;POPULACAO_2022;PROP_ELEITORADO
MG;40410;ALTO RIO DOCE;10234;403;907;1310;12.80046902481923;3102100;Alto Rio Doce - MG;10891;93.96749609769535
MG;40428;MATA VERDE;6778;116;686;802;11.832398937739748;3140555;Mata Verde - MG;9112;74.3854258121159
MG;40436;ALVARENGA;4239;95;188;283;6.676102854446804;3102209;Alvarenga - MG;3975;106.64150943396227
MG;40444;MATIAS CARDOSO;6964;151;531;682;9.793222286042504;3140852;Matias Cardoso - MG;8895;78.2911748173131
MG;40452;ALVINÓPOLIS;13078;429;1291;1720;13.151858082275576;3102308;Alvinópolis - MG;15059;86.84507603426522
MG;40460;MONTEZUMA;5943;94;546;640;10.768971899713948;3143450;Montezuma - MG;6888;86.28048780487805
MG;40479;ALVORADA DE MINAS;4381;123;433;556;12.691166400365214;3102407;Alvorada de Minas - MG;4159;105.33782159172877
MG;40487;NAQUE;5439;231;426;657;12.079426365140652;3144359;Naque - MG;6303;86.29224178962399
MG;40495;AMPARO DO SERRA;4629;166;383;549;11.8600129617628;3102506;Amparo do Serra - MG;4541;101.93789914115834
MG;40509;NOVO ORIENTE DE MINAS;8992;133;847;980;10.898576512455517;3145356;Novo Oriente de Minas - MG;10275;87.51338199513383
MG;40517;ANDRADAS;30399;1630;1987;3617;11.898417711108918;3102605;Andradas - MG;40553;74.9611619362316
MG;40525;PALMÓPOLIS;6165;107;570;677;10.981346309813462;3146750;Palmópolis - MG;6301;97.84161244246945
MG;40533;CACHOEIRA DE PAJEÚ;7121;164;555;719;10.096896503300098;3102704;Cachoeira de Pajeú - MG;9110;78.16684961580681
MG;40541;PEDRAS DE MARIA DA CRUZ;7900;125;425;550;6.962025316455696;3149150;Pedras de Maria da Cruz - MG;10433;75.7212690501294
MG;40550;ANDRELÂNDIA;9931;464;851;1315;13.241365421407714;3102803;Andrelândia - MG;11927;83.26486123920517
MG;40568;PERIQUITO;6547;155;341;496;7.575989002596609;3149952;Periquito - MG;6553;99.90843888295437
MG;40576;ANTÔNIO CARLOS;9730;679;1010;1689;17.35868448098664;3102902;Antônio Carlos - MG;11095;87.69716088328076
MG;40584;PONTO DOS VOLANTES;9443;190;875;1065;11.278195488721805;3152170;Ponto dos Volantes - MG;10883;86.7683543140678
MG;40592;ANTÔNIO DIAS;8831;305;712;1017;11.516249575359527;3103009;Antônio Dias - MG;9219;95.79130057489967
MG;40606;RIACHINHO;5662;63;329;392;6.923348640056518;3154457;Riachinho - MG;6863;82.50036427218419
MG;40614;ANTÔNIO PRADO DE MINAS;1773;36;119;155;8.74224478285392;3103108;Antônio Prado de Minas - MG;1538;115.27958387516254
MG;40622;ROSÁRIO DA LIMEIRA;5069;247;493;740;14.5985401459854;3156452;Rosário da Limeira - MG;4734;107.07646810308407
MG;40630;ARAÇAÍ;2350;89;211;300;12.76595744680851;3103207;Araçaí - MG;2181;107.74873911049978
MG;40649;SANTA BÁRBARA DO LESTE;7302;348;644;992;13.585319090660091;3157252;Santa Bárbara do Leste - MG;8458;86.3324663040908
MG;40657;ARACITABA;2473;75;211;286;11.56490093004448;3103306;Aracitaba - MG;2049;120.69302098584676
MG;40665;SANTA RITA DE MINAS;5971;246;561;807;13.51532406632055;3159357;Santa Rita de Minas - MG;6773;88.15886608592942
MG;40673;ARAÇUAÍ;27967;929;1889;2818;10.0761611899739;3103405;Araçuaí - MG;34297;81.54357523981689
MG;40681;SANTANA DO PARAÍSO;23775;973;1281;2254;9.480546792849632;3158953;Santana do Paraíso - MG;44800;53.06919642857143
MG;40690;ARAGUARI;89184;3509;4485;7994;8.963491209185504;3103504;Araguari - MG;117808;75.70283851690887
MG;40703;SÃO JOÃO DA LAGOA;4882;131;372;503;10.303154444899633;3162252;São João da Lagoa - MG;4822;101.24429697221069
MG;40711;ARANTINA;2718;122;269;391;14.385577630610744;3103603;Arantina - MG;2915;93.2418524871355
MG;40720;SÃO JOÃO DO MANHUAÇU;9127;206;449;655;7.176509258244767;3162559;São João do Manhuaçu - MG;11246;81.15774497599146
MG;40738;ARAPONGA;6798;408;749;1157;17.019711679905853;3103702;Araponga - MG;8048;84.46819085487077
MG;40746;SÃO JOÃO DO MANTENINHA;5186;154;290;444;8.56151176243733;3162575;São João do Manteninha - MG;5331;97.2800600262615
MG;40754;ARAPUÁ;3219;122;204;326;10.127368748058403;3103801;Arapuá - MG;2631;122.34891676168758
MG;40762;SÃO JOÃO DO PACUÍ;3926;54;318;372;9.475292919001529;3162658;São João do Pacuí - MG;3972;98.84189325276938
MG;40770;ARAÚJOS;6447;298;380;678;10.516519311307585;3103900;Araújos - MG;9199;70.08370475051636
MG;40789;SÃO JOSÉ DA LAPA;19682;815;1196;2011;10.21745757544965;3162955;São José da Lapa - MG;26090;75.43886546569567
MG;40797;ARAXÁ;79857;2688;3886;6574;8.23221508446348;3104007;Araxá - MG;111691;71.49815114915258
MG;40800;SARZEDO;24998;1287;1688;2975;11.900952076166094;3165537;Sarzedo - MG;36844;67.84822494843122
MG;40819;ARCEBURGO;7367;370;715;1085;14.727840369214062;3104106;Arceburgo - MG;9177;80.27677890378119
MG;40835;ARCOS;32220;1861;2091;3952;12.265673494723774;3104205;Arcos - MG;41416;77.7960208615028
MG;40843;SENADOR AMARAL;5426;201;325;526;9.6940656100258;3165578;Senador Amaral - MG;6206;87.43151788591686
MG;40851;AREADO;11759;576;666;1242;10.562122629475295;3104304;Areado - MG;13881;84.71291693682012
MG;40860;UBAPORANGA;10455;309;662;971;9.287422285987564;3170057;Ubaporanga - MG;13017;80.31804563263425
MG;40878;ARGIRITA;2931;94;147;241;8.22244967587854;3104403;Argirita - MG;2688;109.04017857142858
MG;40886;URUCUIA;7717;63;469;532;6.893870675132824;3170529;Urucuia - MG;17479;44.15012300474855
MG;40894;ARINOS;13836;283;835;1118;8.080370049147152;3104502;Arinos - MG;17272;80.1065308012969
MG;40908;VARGEM ALEGRE;6088;177;430;607;9.970433639947435;3170578;Vargem Alegre - MG;5780;105.32871972318338
MG;40916;ASTOLFO DUTRA;10796;366;651;1017;9.42015561319007;3104601;Astolfo Dutra - MG;14138;76.36157872400624
MG;40924;JOSENÓPOLIS;3430;30;258;288;8.396501457725948;3136579;Josenópolis - MG;3630;94.49035812672176
MG;40932;ATALÉIA;11334;189;805;994;8.770072348685371;3104700;Ataléia - MG;13736;82.51310425160163
MG;40940;JUVENÍLIA;5635;133;369;502;8.908606921029282;3136959;Juvenília - MG;5789;97.3397823458283
MG;40959;AUGUSTO DE LIMA;4304;140;271;411;9.549256505576208;3104809;Augusto de Lima - MG;4538;94.84354341119436
MG;40967;LEME DO PRADO;4242;84;286;370;8.722300801508723;3138351;Leme do Prado - MG;4341;97.7194194885971
MG;40975;BAEPENDI;15487;664;987;1651;10.660554013043196;3104908;Baependi - MG;18366;84.32429489273657
MG;40983;LUISBURGO;5579;209;345;554;9.93009499910378;3138674;Luisburgo - MG;6956;80.20414031052329
MG;40991;BALDIM;7112;280;401;681;9.575365579302588;3105004;Baldim - MG;7492;94.92792311799253
MG;41009;LUISLÂNDIA;6482;90;319;409;6.3097809318111695;3138682;Luislândia - MG;6210;104.38003220611915
MG;41017;BAMBUÍ;19068;876;1242;2118;11.107614852108243;3105103;Bambuí - MG;23546;80.9819077550327
MG;41025;MÁRIO CAMPOS;12398;654;953;1607;12.961768027101146;3140159;Mário Campos - MG;15900;77.9748427672956
MG;41033;BANDEIRA;4539;85;441;526;11.588455606961883;3105202;Bandeira - MG;4741;95.73929550727695
MG;41041;MARTINS SOARES;7771;314;559;873;11.234075408570323;3140530;Martins Soares - MG;8396;92.55597903763697
MG;41050;BANDEIRA DO SUL;5262;255;292;547;10.39528696313189;3105301;Bandeira do Sul - MG;5943;88.54114083796063
MG;41068;MIRAVÂNIA;4049;64;289;353;8.718202025191406;3142254;Miravânia - MG;3985;101.6060225846926
MG;41076;BARÃO DE COCAIS;24712;1626;2234;3860;15.619941728714796;3105400;Barão de Cocais - MG;30778;80.29111703164598
MG;41084;MONTE FORMOSO;4530;78;365;443;9.77924944812362;3143153;Monte Formoso - MG;4381;103.40104998858708
MG;41106;NATALÂNDIA;3092;76;149;225;7.276843467011643;3144375;Natalândia - MG;3520;87.8409090909091
MG;41114;BARBACENA;99119;5977;9687;15664;15.80322642480251;3105608;Barbacena - MG;125317;79.09461605368784
MG;41122;NINHEIRA;8339;242;855;1097;13.15505456289723;3144656;Ninheira - MG;10588;78.75897242160937
MG;41130;BARRA LONGA;5772;264;585;849;14.708939708939708;3105707;Barra Longa - MG;5666;101.87080833039181
MG;41149;NOVA BELÉM;3628;82;265;347;9.56449834619625;3144672;Nova Belém - MG;3151;115.13805141225009
MG;41157;TRÊS MARIAS;24233;924;1430;2354;9.714026327734906;3169356;Três Marias - MG;28895;83.86572071292612
MG;41165;NOVA PORTEIRINHA;5699;175;405;580;10.177224074399016;3145059;Nova Porteirinha - MG;6706;84.98359677900388
MG;41173;BARROSO;17356;1378;1628;3006;17.31965890758239;3105905;Barroso - MG;20080;86.43426294820718
MG;41181;NOVORIZONTE;4762;79;406;485;10.184796304073918;3145372;Novorizonte - MG;4571;104.178516735944
MG;41190;BELA VISTA DE MINAS;7948;405;612;1017;12.795671867136388;3106002;Bela Vista de Minas - MG;10167;78.17448608242353
MG;41211;BELMIRO BRAGA;3008;66;181;247;8.211436170212766;3106101;Belmiro Braga - MG;3244;92.72503082614057
MG;41220;ORATÓRIOS;4439;194;420;614;13.831944131561164;3145851;Oratórios - MG;4917;90.27862517795404
MG;41238;BELO HORIZONTE;2007576;64277;98207;162484;8.0935416641761;3106200;Belo Horizonte - MG;2315560;86.69937293786384
MG;41246;ORIZÂNIA;6438;198;423;621;9.645852749301024;3145877;Orizânia - MG;8437;76.30674410335428
MG;41254;BELO ORIENTE;19792;979;1434;2413;12.191794664510914;3106309;Belo Oriente - MG;23928;82.71481109996657
MG;41262;PADRE CARVALHO;4968;71;338;409;8.232689210950081;3146255;Padre Carvalho - MG;5058;98.22064056939502
MG;41270;BELO VALE;8004;390;619;1009;12.606196901549223;3106408;Belo Vale - MG;8627;92.77848614813956
MG;41289;PAI PEDRO;5335;62;432;494;9.259606373008436;3146552;Pai Pedro - MG;5551;96.10880922356331
MG;41297;BERILO;9054;201;758;959;10.59200353434946;3106507;Berilo - MG;9826;92.14329330348056
MG;41300;PATIS;5267;81;284;365;6.929941142965636;3147956;Patis - MG;4837;108.88980773206534
MG;41319;BERTÓPOLIS;4278;52;329;381;8.906030855539973;3106606;Bertópolis - MG;4451;96.1132329813525
MG;41327;PEDRA BONITA;5760;170;389;559;9.70486111111111;3148756;Pedra Bonita - MG;7320;78.68852459016394
MG;41335;BETIM;291073;16536;23193;39729;13.64915330518461;3106705;Betim - MG;411846;70.67520383832792
MG;41343;PIEDADE DE CARATINGA;7994;275;575;850;10.632974731048286;3150158;Piedade de Caratinga - MG;8529;93.72728338609451
MG;41351;BIAS FORTES;3749;107;288;395;10.536142971459055;3106804;Bias Fortes - MG;3361;111.54418327878608
MG;41378;BICAS;11623;523;829;1352;11.632108749892454;3106903;Bicas - MG;13978;83.15209615109458
MG;41386;PINTÓPOLIS;6507;110;341;451;6.930997387428922;3150570;Pintópolis - MG;7084;91.85488424618859
MG;41394;BIQUINHAS;2461;69;154;223;9.06135717188135;3107000;Biquinhas - MG;2383;103.27318506084767
MG;41408;PONTO CHIQUE;3854;48;252;300;7.784120394395433;3152131;Ponto Chique - MG;3747;102.85561782759541
MG;41416;BOA ESPERANÇA;32226;2129;2251;4380;13.591509960901137;3107109;Boa Esperança - MG;39848;80.87231479622565
MG;41424;REDUTO;5848;185;391;576;9.849521203830369;3154150;Reduto - MG;7848;74.5158002038736
MG;41432;BOCAINA DE MINAS;4476;202;410;612;13.672922252010723;3107208;Bocaina de Minas - MG;5348;83.6948391922214
MG;41440;SANTA BÁRBARA DO MONTE VERDE;3283;83;208;291;8.863844045080718;3157278;Santa Bárbara do Monte Verde - MG;3095;106.07431340872375
MG;41459;BOCAIÚVA;37149;1272;2275;3547;9.548036286306496;3107307;Bocaiúva - MG;48032;77.34218854097269
MG;41467;SANTA CRUZ DE MINAS;6518;429;504;933;14.31420681190549;3157336;Santa Cruz de Minas - MG;8109;80.37982488592922
MG;41475;BOM DESPACHO;38801;2271;2271;4542;11.70588386897245;3107406;Bom Despacho - MG;51737;74.99661750777973
MG;41483;SANTA CRUZ DE SALINAS;4336;73;392;465;10.724169741697418;3157377;Santa Cruz de Salinas - MG;3910;110.89514066496164
MG;41491;BOM JARDIM DE MINAS;5892;313;492;805;13.662593346911066;3107505;Bom Jardim de Minas - MG;6783;86.86421937195931
MG;41505;SANTA HELENA DE MINAS;5418;44;467;511;9.431524547803615;3157658;Santa Helena de Minas - MG;5938;91.24284270798249
MG;41513;BOM JESUS DA PENHA;3527;159;221;380;10.774028919761838;3107604;Bom Jesus da Penha - MG;4474;78.83325882878856
MG;41521;SANTO ANTÔNIO DO RETIRO;6282;105;544;649;10.331104743712194;3160454;Santo Antônio do Retiro - MG;6629;94.76542464926837
MG;41530;BOM JESUS DO AMPARO;5090;211;512;723;14.204322200392928;3107703;Bom Jesus do Amparo - MG;5631;90.39247025395134
MG;41548;SÃO DOMINGOS DAS DORES;5387;205;344;549;10.191201039539632;3160959;São Domingos das Dores - MG;5626;95.7518663348738
MG;41556;BOM JESUS DO GALHO;12435;471;1045;1516;12.191395255327704;3107802;Bom Jesus do Galho - MG;14536;85.5462300495322
MG;41564;SÃO FÉLIX DE MINAS;3194;66;242;308;9.643080776455855;3161056;São Félix de Minas - MG;3200;99.8125
MG;41572;BOM REPOUSO;8916;373;587;960;10.767160161507402;3107901;Bom Repouso - MG;12649;70.48778559569926
MG;41580;SÃO GERALDO DO BAIXIO;3176;38;171;209;6.580604534005039;3161650;São Geraldo do Baixio - MG;3143;101.0499522748966
MG;41599;BOM SUCESSO;15501;997;1119;2116;13.650732210825108;3108008;Bom Sucesso - MG;17151;90.37956970439042
MG;41602;SÃO JOÃO DAS MISSÕES;9468;159;795;954;10.076045627376423;3162450;São João das Missões - MG;13024;72.6965601965602
MG;41610;BONFIM;7064;431;632;1063;15.048131370328427;3108107;Bonfim - MG;7434;95.02286790422384
MG;41629;SÃO JOAQUIM DE BICAS;21338;967;1626;2593;12.152029243602962;3162922;São Joaquim de Bicas - MG;34348;62.122976592523585
MG;41637;BONFINÓPOLIS DE MINAS;5020;118;215;333;6.633466135458168;3108206;Bonfinópolis de Minas - MG;5528;90.81041968162083
MG;41645;SÃO JOSÉ DA BARRA;6560;284;355;639;9.740853658536588;3162948;São José da Barra - MG;7793;84.17810855896317
MG;41653;BORDA DA MATA;13284;542;894;1436;10.809996988858778;3108305;Borda da Mata - MG;17404;76.32728108480808
MG;41661;ALTO CAPARAÓ;4302;104;172;276;6.4156206415620645;3102050;Alto Caparaó - MG;5795;74.23641069887834
MG;41670;BOTELHOS;12897;548;764;1312;10.172908428316664;3108404;Botelhos - MG;14828;86.97734016725114
MG;41688;ANGELÂNDIA;6722;147;471;618;9.193692353466233;3102852;Angelândia - MG;7718;87.09510235812387
MG;41696;BOTUMIRIM;5407;97;392;489;9.043832069539484;3108503;Botumirim - MG;5790;93.38514680483593
MG;41700;ARICANDUVA;4852;162;423;585;12.056883759274523;3104452;Aricanduva - MG;4719;102.81839372748465
MG;41718;BRASÍLIA DE MINAS;27158;751;1641;2392;8.807717799543413;3108602;Brasília de Minas - MG;32025;84.80249804839968
MG;41726;BERIZAL;3987;72;324;396;9.932279909706546;3106655;Berizal - MG;4201;94.9059747679124
MG;41734;BRÁS PIRES;4577;109;349;458;10.00655451168888;3108701;Brás Pires - MG;4260;107.44131455399062
MG;41742;BONITO DE MINAS;8229;111;602;713;8.664479280593024;3108255;Bonito de Minas - MG;10204;80.64484515876127
MG;41750;BRAÚNAS;4409;141;386;527;11.95282376956226;3108800;Braúnas - MG;4441;99.27944156721459
MG;41769;BUGRE;4421;119;241;360;8.1429540827867;3109253;Bugre - MG;4041;109.40361296708735
MG;41777;BRAZÓPOLIS;12754;687;855;1542;12.09032460404579;3108909;Brazópolis - MG;14246;89.52688473957602
MG;41785;CABECEIRA GRANDE;5499;196;300;496;9.019821785779232;3109451;Cabeceira Grande - MG;6627;82.97872340425532
MG;41793;BRUMADINHO;32273;1688;2530;4218;13.06974870634896;3109006;Brumadinho - MG;38915;82.93203135037903
MG;41807;CAMPO AZUL;4117;62;221;283;6.873937333009474;3111150;Campo Azul - MG;3714;110.85083467959073
MG;41815;BUENO BRANDÃO;8894;470;510;980;11.018664268045873;3109105;Bueno Brandão - MG;10911;81.51406837136834
MG;41823;CANTAGALO;3757;135;366;501;13.33510779877562;3112059;Cantagalo - MG;3974;94.53950679416205
MG;41831;BUENÓPOLIS;8455;294;578;872;10.313424009461857;3109204;Buenópolis - MG;9150;92.40437158469945
MG;41840;CATAS ALTAS;4821;217;452;669;13.87678904791537;3115359;Catas Altas - MG;5473;88.08697241001279
MG;41858;BURITIS;19026;525;1101;1626;8.546199936928414;3109303;Buritis - MG;24030;79.1760299625468
MG;41866;CATUTI;4401;66;358;424;9.634174051351966;3115474;Catuti - MG;4739;92.86769360624605
MG;41874;BURITIZEIRO;19475;612;1400;2012;10.331193838254173;3109402;Buritizeiro - MG;23910;81.4512756168967
MG;41882;CHAPADA GAÚCHA;8853;126;534;660;7.455099966113182;3116159;Chapada Gaúcha - MG;12355;71.65520032375557
MG;41890;CABO VERDE;9582;369;541;910;9.496973491964098;3109501;Cabo Verde - MG;11410;83.97896581945662
MG;41904;CÔNEGO MARINHO;6167;124;488;612;9.923787903356574;3117836;Cônego Marinho - MG;7237;85.21486803924277
MG;41912;CACHOEIRA DA PRATA;3528;117;191;308;8.73015873015873;3109600;Cachoeira da Prata - MG;3693;95.53208773354996
MG;41920;CONFINS;6588;268;393;661;10.033394049787493;3117876;Confins - MG;7350;89.63265306122449
MG;41939;CACHOEIRA DE MINAS;9696;365;603;968;9.983498349834983;3109709;Cachoeira de Minas - MG;11883;81.59555667760667
MG;41947;CÓRREGO FUNDO;5251;246;454;700;13.33079413445058;3119955;Córrego Fundo - MG;6133;85.61878362954508
MG;41955;CACHOEIRA DOURADA;2401;54;127;181;7.538525614327364;3109808;Cachoeira Dourada - MG;2315;103.71490280777537
MG;41963;CRISÓLITA;4798;32;445;477;9.941642350979576;3120151;Crisólita - MG;5265;91.1301044634378
MG;41971;CAETANÓPOLIS;8714;333;648;981;11.25774615561166;3109907;Caetanópolis - MG;11435;76.20463489287276
MG;41980;CUPARAQUE;4253;62;156;218;5.125793557488832;3120839;Cuparaque - MG;3983;106.77880994225457
MG;41998;CAETÉ;34189;1584;2405;3989;11.66749539325514;3110004;Caeté - MG;38776;88.17051784609036
MG;42005;CURRAL DE DENTRO;6363;91;492;583;9.16234480590916;3120870;Curral de Dentro - MG;7406;85.91682419659735
MG;42013;CAIANA;4139;204;355;559;13.505677699927515;3110103;Caiana - MG;5304;78.03544494720965
MG;42021;DELTA;6870;603;674;1277;18.58806404657933;3121258;Delta - MG;10494;65.46598056032018
MG;42030;CAJURI;4572;304;439;743;16.251093613298337;3110202;Cajuri - MG;4088;111.83953033268101
MG;42048;DOM BOSCO;3558;63;170;233;6.548622821810006;3122470;Dom Bosco - MG;3697;96.24019475250203
MG;42056;CALDAS;10963;448;702;1150;10.48982942625194;3110301;Caldas - MG;14217;77.11190827882113
MG;42064;FREI LAGONEGRO;3510;101;363;464;13.21937321937322;3126950;Frei Lagonegro - MG;3391;103.50928929519316
MG;42072;CAMACHO;2991;172;273;445;14.877967235038447;3110400;Camacho - MG;2838;105.39112050739958
MG;42080;FRUTA DE LEITE;5070;65;482;547;10.788954635108482;3127073;Fruta de Leite - MG;4647;109.1026468689477
MG;42099;CAMANDUCAIA;18290;1318;1317;2635;14.40677966101695;3110509;Camanducaia - MG;26097;70.08468406330229
MG;42102;GAMELEIRAS;4519;46;334;380;8.408940030980306;3127339;Gameleiras - MG;4793;94.28332985604006
MG;42110;CAMBUÍ;21943;972;1586;2558;11.657476188306063;3110608;Cambuí - MG;29536;74.2923889490791
MG;42129;GLAUCILÂNDIA;3770;123;224;347;9.20424403183024;3127354;Glaucilândia - MG;2928;128.75683060109287
MG;42137;CAMBUQUIRA;10256;497;822;1319;12.860764430577223;3110707;Cambuquira - MG;12313;83.29407942824658
MG;42145;GOIABEIRA;2892;56;182;238;8.229598893499308;3127370;Goiabeira - MG;2830;102.19081272084804
MG;42153;CAMPANÁRIO;3377;62;234;296;8.76517619188629;3110806;Campanário - MG;2923;115.53198768388641
MG;42161;GOIANÁ;4112;127;259;386;9.38715953307393;3127388;Goianá - MG;4053;101.45571181840612
MG;42170;CAMPANHA;12492;715;854;1569;12.560038424591738;3110905;Campanha - MG;15935;78.39347348603702
MG;42188;GUARACIAMA;4901;113;328;441;8.998163640073455;3128253;Guaraciama - MG;5051;97.03029103147891
MG;42196;CAMPESTRE;16831;953;975;1928;11.45505317568772;3111002;Campestre - MG;20696;81.32489369926556
MG;42200;IBIRACATU;5945;112;379;491;8.259041211101765;3129657;Ibiracatu - MG;5081;117.00452666797874
MG;42218;CAMPINA VERDE;14721;466;806;1272;8.640717342571836;3111101;Campina Verde - MG;18011;81.73338515351729
MG;42226;IMBÉ DE MINAS;5342;133;443;576;10.782478472482216;3130556;Imbé de Minas - MG;6986;76.46722015459491
MG;42234;CAMPO BELO;39892;2436;2768;5204;13.045222099669108;3111200;Campo Belo - MG;52277;76.30889301222335
MG;42242;INDAIABIRA;6258;73;464;537;8.581016299137104;3130655;Indaiabira - MG;6346;98.61329971635676
MG;42250;CAMPO DO MEIO;10099;576;700;1276;12.634914347955242;3111309;Campo do Meio - MG;11377;88.76681023116815
MG;42269;JAPONVAR;8345;174;589;763;9.14319952067106;3135357;Japonvar - MG;8127;102.682416635905
MG;42277;CAMPO FLORIDO;6362;267;388;655;10.295504558314995;3111408;Campo Florido - MG;8466;75.14764942121427
MG;42285;JENIPAPO DE MINAS;5948;93;504;597;10.036987222595831;3135456;Jenipapo de Minas - MG;6100;97.50819672131148
MG;42293;CAMPOS ALTOS;10464;377;594;971;9.279434250764526;3111507;Campos Altos - MG;12979;80.6225441097157
MG;42307;JOSÉ GONÇALVES DE MINAS;3787;60;314;374;9.875891206759968;3136520;José Gonçalves de Minas - MG;3969;95.41446208112875
